centroid_x,centroid_y,img_lb
336.0,642.0,0.0
652.0,598.0,0.0
86.0,480.0,0.0
271.0,439.0,0.0
446.0,426.0,0.0
427.0,412.0,0.0
20.0,336.0,0.0
570.0,186.0,0.0
48.0,49.0,0.0
306.0,481.0,0.0
824.0,246.0,0.0
883.0,114.0,0.0
78.0,692.0,0.0
85.0,551.0,0.0
792.0,507.0,0.0
382.0,360.0,0.0
802.0,282.0,0.0
646.0,433.0,0.0
601.0,84.0,0.0
591.0,76.0,0.0
88.0,43.0,0.0
935.0,693.0,1.0
724.0,575.0,1.0
278.0,384.0,1.0
526.0,324.0,1.0
226.0,20.0,1.0
42.0,638.0,1.0
265.0,164.0,1.0
312.0,464.0,1.0
770.0,534.0,1.0
222.0,439.0,1.0
722.0,710.0,2.0
506.0,655.0,2.0
529.0,620.0,2.0
273.0,559.0,2.0
587.0,488.0,2.0
760.0,398.0,2.0
374.0,324.0,2.0
633.0,134.0,2.0
654.0,114.0,2.0
895.0,594.0,2.0
71.0,341.0,2.0
546.0,324.0,2.0
305.0,457.0,2.0
296.0,450.0,2.0
19.0,710.0,3.0
645.0,676.0,3.0
472.0,631.0,3.0
882.0,535.0,3.0
694.0,418.0,3.0
254.0,307.0,3.0
620.0,264.0,3.0
812.0,238.0,3.0
6.0,667.0,3.0
223.0,529.0,3.0
88.0,126.0,3.0
182.0,509.0,3.0
824.0,433.0,3.0
628.0,232.0,3.0
947.0,685.0,4.0
611.0,661.0,4.0
593.0,515.0,4.0
278.0,338.0,4.0
512.0,228.0,4.0
476.0,205.0,4.0
500.0,184.0,4.0
143.0,143.0,4.0
233.0,570.0,4.0
821.0,568.0,4.0
638.0,429.0,4.0
517.0,292.0,4.0
133.0,704.0,5.0
893.0,683.0,5.0
737.0,607.0,5.0
749.0,591.0,5.0
741.0,478.0,5.0
707.0,478.0,5.0
767.0,449.0,5.0
251.0,387.0,5.0
928.0,379.0,5.0
442.0,294.0,5.0
226.0,289.0,5.0
314.0,113.0,5.0
413.0,415.0,5.0
222.0,245.0,5.0
171.0,227.0,5.0
184.0,220.0,5.0
300.0,176.0,5.0
578.0,599.0,5.0
577.0,585.0,5.0
577.0,575.0,5.0
324.0,548.0,5.0
472.0,422.0,5.0
725.0,628.0,6.0
870.0,566.0,6.0
469.0,434.0,6.0
167.0,191.0,6.0
398.0,144.0,6.0
906.0,28.0,6.0
340.0,424.0,6.0
317.0,280.0,6.0
711.0,228.0,6.0
145.0,584.0,6.0
138.0,254.0,6.0
448.0,659.0,7.0
897.0,649.0,7.0
791.0,633.0,7.0
508.0,632.0,7.0
309.0,584.0,7.0
96.0,563.0,7.0
197.0,534.0,7.0
517.0,479.0,7.0
883.0,438.0,7.0
809.0,435.0,7.0
865.0,408.0,7.0
300.0,397.0,7.0
518.0,392.0,7.0
140.0,357.0,7.0
113.0,350.0,7.0
495.0,346.0,7.0
841.0,332.0,7.0
282.0,323.0,7.0
127.0,315.0,7.0
701.0,310.0,7.0
814.0,303.0,7.0
232.0,289.0,7.0
502.0,140.0,7.0
894.0,139.0,7.0
20.0,511.0,7.0
640.0,465.0,7.0
217.0,149.0,7.0
856.0,672.0,7.0
259.0,649.0,7.0
47.0,293.0,7.0
127.0,209.0,7.0
104.0,158.0,7.0
938.0,637.0,7.0
950.0,635.0,7.0
556.0,453.0,7.0
542.0,452.0,7.0
280.0,100.0,7.0
278.0,86.0,7.0
260.0,76.0,7.0
166.0,495.0,7.0
117.0,495.0,7.0
659.0,496.0,7.0
321.0,320.0,7.0
460.0,306.0,7.0
686.0,279.0,7.0
360.0,628.0,8.0
392.0,551.0,8.0
206.0,440.0,8.0
346.0,402.0,8.0
611.0,368.0,8.0
261.0,354.0,8.0
218.0,263.0,8.0
466.0,243.0,8.0
476.0,186.0,8.0
287.0,165.0,8.0
717.0,66.0,8.0
383.0,604.0,8.0
471.0,428.0,8.0
564.0,121.0,8.0
76.0,679.0,8.0
51.0,677.0,8.0
516.0,617.0,8.0
770.0,471.0,8.0
584.0,245.0,8.0
85.0,244.0,8.0
398.0,175.0,8.0
392.0,437.0,8.0
461.0,570.0,9.0
463.0,498.0,9.0
64.0,460.0,9.0
856.0,165.0,9.0
189.0,33.0,9.0
512.0,623.0,9.0
98.0,79.0,9.0
228.0,531.0,9.0
493.0,244.0,9.0
281.0,262.0,9.0
274.0,248.0,9.0
189.0,32.0,9.0
188.0,15.0,9.0
